ID,text,target,url,date
ynat-v1_train_00000,개포2단지 분양 앞두고 개포지구 재건축 불붙어,1,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=260&oid=001&aid=0008257662,2016.03.16. 오전 11:37
ynat-v1_train_00001,삼성전자 KBIS 2018서 셰프컬렉션 선보여,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=263&oid=001&aid=0009801925,2018.01.10. 오전 8:33
ynat-v1_train_00002,LG G6 사면 BO 이어폰이 단돈 5천원,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=731&oid=001&aid=0009229739,2017.04.30. 오전 10:00
ynat-v1_train_00003,신간 블록체인혁명 2030·남자의 고독사,3,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=103&sid2=243&oid=001&aid=0010887826,2019.06.13. 오전 11:49
ynat-v1_train_00004,이스라엘 정보당국 팔레스타인인 50명 테러 혐의로 체포,4,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=104&sid2=234&oid=001&aid=0011285714,2019.12.18. 오후 11:15
ynat-v1_train_00005,배구연맹 이영일구 순천 KOVO커 부녕 대행업체 입찰 공고,5,https://sports.news.naver.com/news.nhn?oid=001&aid=0010944292,2019.07.10 16:47
ynat-v1_train_00006,콜마비앤에이치 작년 영업익 352억원…54.5%↑,1,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=261&oid=001&aid=0008125985,2016.01.18. 오후 4:45
ynat-v1_train_00007,SOil 1조2천억원 경유·납사·항공유 공급계약,1,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=258&oid=001&aid=0008937328,2017.01.05. 오전 10:21
ynat-v1_train_00008,카카오·삼성화재 디지털 손해보험사 설립 추진,1,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=230&oid=001&aid=0011162070,2019.10.23. 오전 10:49
ynat-v1_train_00009,긴급비상대책위 참석하는 김병준과 나경원,6,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=269&oid=001&aid=0010624003,2019.02.08. 오후 6:32
ynat-v1_train_00010,폭염 이기는 도심 속 오페라 공연,3,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=103&sid2=242&oid=001&aid=0010223936,2018.07.21. 오전 10:15
ynat-v1_train_00011,그래픽 편볍증여 통한 부동산 취득 사례,1,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=260&oid=001&aid=0011206702,2019.11.12. 오후 3:06
ynat-v1_train_00012,美웨스트버지니아 경선 샌더스 박빙 우세…전체 판세와는 무관,4,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=104&sid2=232&oid=001&aid=0008392323,2016.05.11. 오전 9:48
ynat-v1_train_00013,SK텔레콤 해킹불가능 장거리 양자암호통신 성공,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=227&oid=001&aid=0009345756,2017.06.19. 오전 9:18
ynat-v1_train_00014,北 한미일 연합훈련 비난…지배주의적 야망의 발로,6,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=268&oid=001&aid=0008771462,2016.10.22. 오후 10:16
ynat-v1_train_00015,부상 고려하지 않은 ZiPS 오타니 타자로 20홈런·투...,5,https://sports.news.naver.com/news.nhn?oid=001&aid=0010619642,2019.02.06 09:50
ynat-v1_train_00016,광주은행 주택대출 급증…가계 원리금 상환 부담 커져,1,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=259&oid=001&aid=0009909350,2018.02.21. 오전 10:00
ynat-v1_train_00017,마이크로소프트 2세대 무선 디스플레이 어댑터 출시,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=227&oid=001&aid=0008476202,2016.06.16. 오전 11:12
ynat-v1_train_00018,조배숙 중앙위 정례회의 주재,2,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=265&oid=001&aid=0009854222,2018.02.02. 오전 8:54
ynat-v1_train_00019,경북·여수·정선·창원 관광발전지수 1등급 지역에 새로 선정,3,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=103&sid2=237&oid=001&aid=0011304545,2019.12.30. 오전 11:04
ynat-v1_train_00020,당대 최고 포수 양이지 올 시즌 성적 쩌도 신기함니다,5,https://sports.news.naver.com/news.nhn?oid=001&aid=0010147668,2018.06.13 22:37
ynat-v1_train_00021,월드컵 주장 기성용은 왜 거짓말쟁이라는 단어를 썼나,5,https://sports.news.naver.com/news.nhn?oid=001&aid=0010135297,2018.06.08 06:05
ynat-v1_train_00022,아시안게임 응원석엔 하나된 함성 벤치엔 우정의 미소…...,5,https://sports.news.naver.com/news.nhn?oid=001&aid=0010272168,2018.08.15 23:34
ynat-v1_train_00023,그래픽 부산해남 최장 걷기여행길 남파랑길,3,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=103&sid2=237&oid=001&aid=0010716535,2019.03.25. 오후 4:37
ynat-v1_train_00024,이뤄 뢰구긴 관광개 길보니 한구긔 이배…격차 계소 콱때되나,1,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=103&sid2=237&oid=001&aid=0009041311,2017.02.17. 오전 6:35
ynat-v1_train_00025,과기정통부 올해 이동통신 데이터요금 18% 인하할 것,2,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=731&oid=001&aid=0009832346,2018.01.24. 오전 9:00
ynat-v1_train_00026,책으로 떠나는 한양도성 순례…성곽길시간여행 출간,3,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=103&sid2=243&oid=001&aid=0009741500,2017.12.11. 오전 7:30
ynat-v1_train_00027,한국 존스컵 국제남자농구 대회서 일본에 29점 차 완승,5,https://sports.news.naver.com/news.nhn?oid=001&aid=0010223309,2018.07.20 17:58
ynat-v1_train_00028,파리바게뜨 갈등 봉합됐지만…긍정적 발판 vs 부정적 선례,2,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=263&oid=001&aid=0009810799,2018.01.14. 오전 6:07
ynat-v1_train_00029,기성용 손흥민과 맞대결…카르바할 체제서 첫 시험대,5,https://sports.news.naver.com/news.nhn?oid=001&aid=0009779984,2017.12.29 10:06
ynat-v1_train_00030,갤럭시S8 중동 상륙…28일 아랍에미리트 출시,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=105&sid2=731&oid=001&aid=0009181404,2017.04.12. 오전 9:24
ynat-v1_train_00031,김구가 쓴 한운야학,3,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=103&sid2=242&oid=001&aid=0010651218,2019.02.22. 오전 11:09
ynat-v1_train_00032,황총리 안보위기 평화통일 전기되도록 할 것,6,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=269&oid=001&aid=0008329213,2016.04.13. 오전 10:06
ynat-v1_train_00033,한국 계파갈등 재연 조짐…연이틀 비대위·친박 신경전,6,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=265&oid=001&aid=0010441146,2018.11.01. 오후 3:07
ynat-v1_train_00034,발목 부상 오세근 전자랜드전 결장…대표팀은 참가,5,https://sports.news.naver.com/news.nhn?oid=001&aid=0009886254,2018.02.13 07:52
ynat-v1_train_00035,與 대구·경북 공천면접심사…현역 vs 진박 격돌,2,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=265&oid=001&aid=0008213603,2016.02.26. 오전 5:00
ynat-v1_train_00036,MLB 그레인키 9회 1아웃 뒤 노히트 게임 놓쳐,5,https://sports.news.naver.com/news.nhn?oid=001&aid=0011104928,2019.09.26 14:55
ynat-v1_train_00037,영화 5만편 내려받아도 끄떡없다…삼성 신형 SSD 출시,0,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=261&oid=001&aid=0008424863,2016.05.24. 오후 11:00
ynat-v1_train_00038,SBS콘텐츠허브 SBS네오파트너스·지에프앤엘 지분 매각,1,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=101&sid2=261&oid=001&aid=0010680254,2019.03.07. 오후 4:07
ynat-v1_train_00039,불법·허위사실 vs 적법…곳곳서 여론조사 논란,6,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=265&oid=001&aid=0008175502,2016.02.09. 오전 8:00
ynat-v1_train_00040,그래픽 도쿄올림픽 야구 미주·세계예선 일정,5,https://sports.news.naver.com/news.nhn?oid=001&aid=0011226374,2019.11.20 21:19
ynat-v1_train_00041,증명사진 없어도 재외공관서 전자여권 신청 가능,2,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=103&sid2=237&oid=001&aid=0008925323,2016.12.30. 오전 11:27
ynat-v1_train_00042,안전이 가장 중요 태풍 북상에 전국 축제·행사 취소·연기,3,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=103&sid2=242&oid=001&aid=0010378821,2018.10.04. 오후 4:09
ynat-v1_train_00043,경기도 가맹사업 분쟁 42건 합의조정으로 해결,2,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=102&sid2=257&oid=001&aid=0012064351,2020.12.07. 오후 2:10
